OBJECT,FULLOBJECT,THEME,TITLE,ABSTRACT,METADATA URL
acs_s038b14001,acs_s038b14001,census,2007-11 ACS: SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: School Enrollment subject area. Prov ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s038b14001
acs_s040b15002,acs_s040b15002,census,2007-11 ACS: SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Educational Attainment subject area. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s040b15002
acs_s041b16001,acs_s041b16001,census,2007-11 ACS: LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Language subject area. Provides info ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s041b16001
acs_s042b16002,acs_s042b16002,census,2007-11 ACS: HOUSEHOLD LANGUAGE BY HOUSEHOLDS IN WHICH NO ONE 14 AND OVER SPEAKS ENGLISH ONLY OR SPEAKS A LANGUAGE OTHER THAN ENGLISH AT HOME AND SPEAKS ENGLISH "VERY WELL" (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Language subject area. Provides info ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s042b16002
acs_s042b16005,acs_s042b16005,census,2007-11 ACS: NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Language subject area. Provides info ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s042b16005
acs_s044b17001,acs_s044b17001,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s044b17001
acs_s044b17001a,acs_s044b17001a,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s044b17001a
acs_s044b17001b,acs_s044b17001b,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s044b17001b
acs_s044b17001c,acs_s044b17001c,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s044b17001c
acs_s045b17001d,acs_s045b17001d,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (ASIAN ALONE) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s045b17001d
acs_s045b17001e,acs_s045b17001e,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s045b17001e
acs_s045b17001f,acs_s045b17001f,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (SOME OTHER RACE ALONE) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s045b17001f
acs_s045b17001g,acs_s045b17001g,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (TWO OR MORE RACES) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s045b17001g
acs_s046b17001h,acs_s046b17001h,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE; NOT HISPANIC OR LATINO) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s046b17001h
acs_s046b17001i,acs_s046b17001i,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (HISPANIC OR LATINO) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s046b17001i
acs_s046c17002,acs_s046c17002,census,2007-11 ACS: RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s046c17002
acs_s047b17010,acs_s047b17010,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s047b17010
acs_s050b17020a,acs_s050b17020a,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s050b17020a
acs_s050b17020b,acs_s050b17020b,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (BLACK OR AFRICAN AMERICAN ALONE) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s050b17020b
acs_s050b17020c,acs_s050b17020c,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s050b17020c
acs_s050b17020d,acs_s050b17020d,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (ASIAN ALONE) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s050b17020d
acs_s050b17020e,acs_s050b17020e,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s050b17020e
acs_s050b17020f,acs_s050b17020f,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (SOME OTHER RACE ALONE) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s050b17020f
acs_s050b17020g,acs_s050b17020g,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (TWO OR MORE RACES) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s050b17020g
acs_s051b17020h,acs_s051b17020h,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE; NOT HISPANIC OR LATINO) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s051b17020h
acs_s051b17020i,acs_s051b17020i,census,2007-11 ACS: POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (HISPANIC OR LATINO) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s051b17020i
acs_s052b17024,acs_s052b17024,census,2007-11 ACS: AGE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s052b17024
acs_s053b19001,acs_s053b19001,census,2007-11 ACS: HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s053b19001
acs_s053b19001a,acs_s053b19001a,census,2007-11 ACS: HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s053b19001a
acs_s053b19001b,acs_s053b19001b,census,2007-11 ACS: HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s053b19001b
acs_s053b19001c,acs_s053b19001c,census,2007-11 ACS: HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s053b19001c
acs_s053b19001d,acs_s053b19001d,census,2007-11 ACS: HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s053b19001d
acs_s053b19001e,acs_s053b19001e,census,2007-11 ACS: HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s053b19001e
acs_s053b19001f,acs_s053b19001f,census,2007-11 ACS: HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (SOME OTHER RACE ALONE HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s053b19001f
acs_s053b19001g,acs_s053b19001g,census,2007-11 ACS: HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s053b19001g
acs_s053b19001h,acs_s053b19001h,census,2007-11 ACS: HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE; NOT HISPANIC OR LATINO HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s053b19001h
acs_s053b19001i,acs_s053b19001i,census,2007-11 ACS: HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s053b19001i
acs_s053b19013,acs_s053b19013,census,2007-11 ACS: MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s053b19013
acs_s053b19019,acs_s053b19019,census,2007-11 ACS: MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s053b19019
acs_s058b19101,acs_s058b19101,census,2007-11 ACS: FAMILY INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s058b19101
acs_s058b19101a,acs_s058b19101a,census,2007-11 ACS: FAMILY INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s058b19101a
acs_s058b19101b,acs_s058b19101b,census,2007-11 ACS: FAMILY INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s058b19101b
acs_s058b19101c,acs_s058b19101c,census,2007-11 ACS: FAMILY INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s058b19101c
acs_s058b19101d,acs_s058b19101d,census,2007-11 ACS: FAMILY INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s058b19101d
acs_s058b19101e,acs_s058b19101e,census,2007-11 ACS: FAMILY INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s058b19101e
acs_s058b19101f,acs_s058b19101f,census,2007-11 ACS: FAMILY INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (SOME OTHER RACE ALONE HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s058b19101f
acs_s058b19101g,acs_s058b19101g,census,2007-11 ACS: FAMILY INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s058b19101g
acs_s058b19101h,acs_s058b19101h,census,2007-11 ACS: FAMILY INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE; NOT HISPANIC OR LATINO HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s058b19101h
acs_s058b19101i,acs_s058b19101i,census,2007-11 ACS: FAMILY INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s058b19101i
acs_s058b19113,acs_s058b19113,census,2007-11 ACS: MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s058b19113
acs_s059b19301,acs_s059b19301,census,2007-11 ACS: PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s059b19301
acs_s067b21001,acs_s067b21001,census,2007-11 ACS: SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Veteran Status subject area. Provide ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s067b21001
